PARCELID,GlobalID,natural
1899-26-7217-000,{F85446A1-DCDC-4113-B1EF-369F99FDCD58},0
2911-04-6503-000,{3D768A39-C97B-4C8E-BD97-2DE9032375F8},0
1994-26-4717-000,{CD63A269-9FEC-4CB3-B511-7D267E4BE6BA},0
2828-02-0913-000,{DE2F2286-EB01-4437-98DB-2F37FEEF71E8},0
2910-59-6699-000,{AC134648-7FCD-4300-9EA1-A884643082EF},0
1940-64-5730-000,{E72BA845-D4D8-4FA2-91CB-1B531F48EFF0},0
1877-68-8613-000,{8BF9EFB5-4AC5-4E92-B333-55E401DF7DCB},0
1980-59-2036-000,{E473B7D1-7962-4C83-A215-D0E0B835B7E7},0
2819-83-9808-000,{1689F178-D677-4229-B3F3-74F39721D41B},1
1899-67-2637-000,{F8555215-D5EB-4573-80BA-92C4122AF36E},0
1889-77-9657-000,{6DD082B1-A90E-45E6-88A7-8DA8F58D5D8E},0
1951-25-6238-000,{8FE1B582-BBC9-4236-ACF6-73421231D77C},0
1879-05-7839-000,{C3EE196A-E791-4E59-A898-74B393981628},0
2914-00-1598-000,{AEA78CBF-CDFB-4421-AF1C-7825539520BF},0
2903-37-3866-000,{37EE2425-497D-4611-A07D-ABE67A013F08},0
1994-56-7155-000,{8FD41671-4927-4726-97A3-1FAB2BB4F5CA},0
2858-81-7217-000,{404FF7B3-5D36-4C65-8CBD-98261D446477},0
1950-43-7659-000,{C2325B46-7DB7-4AF3-9D39-E6D8BF52DF27},0
1993-08-4758-000,{F3169479-A2C8-47AA-A565-26DAA912240B},0
2930-22-5371-000,{B1171048-1BDB-40DE-85D4-CF5AE9FF3298},0
2930-22-5371-000,{16D4223F-76E9-41FB-A849-CD3E8A4388D9},0
2839-09-5923-000,{F7DB1136-5877-4132-B943-23EA27D26083},0
1940-94-7481-000,{997CCF84-F684-495C-A082-7A449F5FB273},0
1962-50-9951-000,{714A108A-3039-4EAB-A7DE-0A8650333BAA},0
1973-81-1156-000,{446D76CD-EAA2-4A44-9391-EC09CBCE8857},0
2911-66-4179-000,{79ECB6D7-DAC2-443F-ADE9-B057E498A2C6},0
2829-15-6261-000,{77D25BDB-15C3-4776-897B-2F3BFAD8B9EE},0
1950-47-3473-000,{D7249E1D-E4FC-444F-88D0-F95AE4EFEAC0},0
1965-20-3963-000,{0B04940A-00E6-4DAE-A942-9FB2DF02B251},0
1950-18-9722-000,{E8AA0FC9-59DC-45E9-A636-3D1A62FB0FD8},0
2951-86-3383-000,{43036A51-F9A2-49CE-8228-10B4ACCF82DF},0
1899-31-2877-000,{D20FE1DF-4891-4756-B4BB-48E4DE4DA45E},0
2819-54-5213-000,{BE134C61-7644-478E-B342-CC97A13F70BF},0
1950-66-0702-000,{0B0C1965-245D-40F9-BFCC-53F661D01C0D},0
2838-50-3754-000,{462597F6-67E5-40DA-BCB2-19BC0A1B7D94},0
1961-78-3156-000,{6D48E430-052A-448A-9D09-7268DAC6AB9D},0
2819-18-9061-000,{EEE7953B-A420-4D07-A8E6-C1C401853638},0
1954-63-6875-000,{0E2E19E1-8767-4F47-92F7-EEC4F32FBF5A},0
1971-40-6294-000,{8AB52B24-8724-4616-B7D1-47DEB00F276D},0
2900-27-7440-000,{F136CBA9-A68D-4F72-83BA-177291776DE4},0
1899-42-3707-000,{2225A53F-8DCD-4149-A787-842CF274884D},0
2901-44-6679-000,{74579D6F-A461-464B-8789-A221D8ED3394},0
2829-45-1364-000,{425118AA-DF09-4F77-86CB-FCA37CE8DF48},0
2900-88-1982-000,{14482619-664F-4C07-9AFA-9B46A4977C8F},0
1940-65-8645-000,{F139CAFF-BE80-4B7D-AFFE-3F972F062E94},0
2910-68-5746-000,{9F702C9E-25F6-4941-9302-2B6145CE6344},0
1971-80-7865-000,{D84BFBD7-27F9-4D04-B589-BCA093C3067B},0
1983-83-2213-000,{1E9D5DA6-683C-4896-A6D9-A48482A7171B},0
2838-29-6272-000,{7A5674EE-F914-4987-8D7F-4D01C24D94D7},0
1990-36-5098-000,{EACF6FB3-DFF7-4CED-BC48-FC516E36A65A},0
2960-78-7902-000,{A1A2EA34-3E2F-4268-87BA-A24EDE872E63},0
