"GlobalID","n_permit_22"
"{BD7BAEAC-815F-44A2-A49F-11E126616C1C}",2
"{BDBE4898-2898-42A8-9EC8-37CFB8DC961C}",2
"{BF751C7E-B9F3-4079-BF70-B93DC1E96711}",1
"{C19F9693-716E-4B3E-A801-4CF3E33BFAC2}",1
"{C2AC4AEC-7B0C-45C4-97AC-53616F7933FD}",1
"{C48CFEA3-33B4-47F9-8C0B-3CA0B9916860}",2
"{C492FC1A-B188-441F-85C7-054A7EACBA37}",5
"{C5BDA950-8E73-4540-A042-159F7F4829B8}",1
"{CC1A8BBA-B7D2-4CB8-8C24-BD4C929A6811}",1
"{CC75A042-F574-41D8-BF1B-0EB397FEAC58}",2
"{CD45CC63-82DA-4DFB-AA0C-C48DA6350954}",1
"{CD70C4E5-25FE-4CBD-A301-70CA9BDF9DC7}",4
"{CDB003EC-EF8B-46E6-A3D9-627A23A0102B}",1
"{CE0F30BF-5706-40E2-B269-BCFA875098CB}",2
"{D1EBC2D8-F50B-42A2-99DB-4545EA5BDFBC}",1
"{D2021CC7-A362-4ABB-AAB4-F7EA7812DEC5}",2
"{D29BA9C9-EC97-4F7E-BC7C-AFC0DA2379A9}",1
"{D44BA33E-D98D-4F09-B495-2DCA0DBAFA1D}",1
"{D505E885-88FD-4F42-9100-131B57DD7A87}",1
"{D51A48B1-D634-464A-8B97-EAB0D7F5D542}",1
"{D51D9F3D-DE06-40F2-853A-6D18FFC37CFE}",1
"{D54D88E6-67D8-480F-AB47-15E7917C35FD}",1
"{D5C22698-7FD9-4497-A8AC-9FC83A17C091}",1
"{D609EDD8-E191-46CD-9A5D-8CDB79F5E80F}",2
"{D6BEFB94-5DE4-487A-A119-86B6680E039D}",1
"{D91DE126-37F0-47BF-88AD-9B6F18B4DC6F}",2
"{D9AC1AF1-A2B7-4004-9D2C-8BC712220398}",1
"{DA7C063D-ACB8-4627-8BCB-7A914D21B271}",1
"{DAED48DE-4F5E-49CC-A095-109DDCAB73E7}",1
"{DBB386C6-7803-4CD8-AE9A-7C55AA73279E}",1
"{DD06B1BC-E9CB-4A50-9B30-6FDA6A0F7A0E}",11
"{DD37E0A1-A0F4-4D58-B2C4-A7B618275C5C}",2
"{DD62BF25-A7B6-4124-BF6D-355376C9DA24}",1
"{E025FCB5-E6F6-4F34-B858-B6C059011039}",1
"{E1165A82-6BBC-4723-BA88-D4992EFFD211}",2
"{E15DB68F-9C4E-4581-81AB-C34E69DC0AEF}",1
"{E1D9B955-2ABE-44C4-AC82-203DBDA2E65A}",2
"{E2CF4FD9-639D-4E7A-86EB-113BB2DB101B}",1
"{E2E4BDF6-4034-48A5-8A2F-509C179B370E}",2
"{E3174B19-81D3-4E32-97C2-9E69D49C71AB}",1
"{E3EDF3A3-DCFE-4E70-903E-E078482319FB}",2
"{E41B334A-D1C8-4F63-BE31-619C2CE3C907}",2
"{E4C14BED-109D-4D99-9374-568D3E91D57D}",1
"{E52F0D4B-87A9-4642-AAE7-063F3F8C54F9}",1
"{E640DFBA-9E53-4B99-98FA-81EC49A54B4F}",1
"{E65A9A75-8C66-4D2D-A1CE-FCDF4C230B33}",1
"{E71CFFB2-1377-465F-91D3-409EDA0F36C4}",1
"{E7D3831B-EFD5-42ED-9D45-AFEDC0FAD8FF}",1
"{E827AF61-F17C-4F3D-B952-3A374E3AE4A8}",1
"{E8296BCC-F326-4210-A282-AA37E801D2A7}",2
"{EA6C2A90-1716-46B3-94BC-29BA0230F5CF}",1
"{EC7C49B0-2F5D-45E3-BC90-19F8F6C0F56C}",7
"{EF3C09D0-E150-4E39-8E91-2C00D741BBA9}",1
"{EF76403C-8963-49EA-B3D1-E7B60EE6753B}",1
"{F02CB019-3F24-49AF-A933-FD731CD04372}",5
"{F381F204-C554-400D-ABA2-3A5F1C12DA69}",3
"{F3A96823-A49D-4365-BEAD-8B2E0A03DE49}",1
"{F4FC7888-30D0-4C38-BD72-2CCFE093E1D6}",1
"{F9A54874-D908-4392-938B-EF6308B3A22A}",1
"{F9DC7677-89AD-4D00-9CDC-6FB403976ACF}",1
"{FB271997-9790-4C0A-9695-79CCF04F44EA}",1
"{FE6D33B9-33BD-441A-89B4-0E7D5637520C}",2
"{FF70AFC2-914C-4E17-A367-05355CD94011}",1
"{FF9B759E-BA72-4A53-B0FD-06AA51291F37}",1
"{FFB62021-0282-4292-A821-1A894A47CB5C}",1
NA,86
