"Slope_Ave","Slope_Max","Soil_A","Soil_B","Soil_B.C","Soil_C","Soil_Unknown","n_permit_22","permit_17.nn_3","permit_17.nn_4","permit_17.nn_5","Developed_Open_Space","Deciduous_Forest","Mixed_Forest","Developed_Low_Intensity","Pasture_Hay","Developed_Medium_Intensity","Developed_High_Intensity","Woody_Wetlands","Grassland_Herbaceous","Evergreen_Forest","Shrub_Scrub","Emergent_Herbaceous_Wetlands","Landcover_NaN","Open_Water","Barren_Land","Cultivated_Crops","natural","inflation17","permit_17","YRBUILT","permit_22"
15.0341005325317,17.5016994476318,100,0,0,0,0,0,1630.55122111503,1787.02650765485,2214.86828699045,6.03,93.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"    84596.85",0,0,"0"
12.1039763041905,18.0998916625977,100,0,0,0,0,0,3760.54003053874,5621.34688579481,6880.92697803539,7.29,74.81,4.21,0,12.54,0,0,0,1.1,0,0,0,0,0,0,0,0,"   154044.78",0,0,"0"
11.6795043945312,11.6795043945312,10.7734841667064,59.3884212296809,29.8380946036127,0,0,0,4196.44939104024,4342.18299219734,4661.7152212605,100.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    31887.69",0,0,"0"
16.796031518416,23.1637382507324,73.8605447969996,26.1394552030004,0,0,0,0,5738.60247273417,7124.62956605201,8326.38675170379,4.77,58.74,36.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    61297.49",0,0,"0"
11.723832161803,20.0338573455811,100,0,0,0,0,0,8413.34734224505,9303.70055863427,10491.0823336327,13.43,23.2,40.87,6.78,15.68,0,0,0,0,0,0,0,0,0,0,0,0,"   314098.23",0,0,"0"
18.3510265350342,18.748685836792,54.2992506416726,45.7007493583274,0,0,0,0,8984.1396954901,9489.61270840311,9792.89651615091,84.42,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    18446.88",0,0,"0"
8.94038271903992,11.6795043945312,100,0,0,0,0,0,6192.53569117001,6369.41908868497,6555.7942164673,2.49,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"          NA",0,0,"0"
14.552001953125,14.552001953125,73.2633878736064,26.7366121263936,0,0,0,0,5201.32002113688,5349.13720301214,5513.76632656586,36.65,0,63.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    15582.92",0,0,"0"
2.8534209728241,10.460521697998,0,99.3848536953722,0.615146304627773,0,0,0,1882.81662750791,2725.48048857157,3279.22249553166,1.51,0,0,2.97,89.66,5.8,0,0,0,0,0,0,0,0,0,0,1," 10490335.79",0,0,"0"
9.57125663757324,9.57125663757324,0,100,0,0,0,0,3646.55049140269,3906.76522459275,4062.89406450679,42.72,57.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"   413177.74",0,0,"0"
10.9106423060099,14.5213766098022,100,0,0,0,0,0,2486.08407544029,2969.96728778766,3330.21695675719,51.15,26.75,20.16,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,"    52200.00",0,0,"0"
9.37277154922485,16.5661220550537,9.43054254739641,90.5694574526036,0,0,0,0,5056.78287513006,5121.7251828313,5199.97331924452,3.06,96.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    32312.06",0,0,"0"
10.7902402877808,10.7902402877808,8.66726079658447,91.3327392034155,0,0,0,0,3112.59125337515,3395.51176405718,3678.098170871,33.31,0,0,52.03,8.9,0,0,0,0,0,0,5.76,0,0,0,0,0,"   161651.54",0,0,"0"
1.03867483139038,1.03867483139038,37.9500606753362,62.0499393246638,0,0,0,0,4280.97491679293,4600.03049209865,4791.46383728207,78.24,0,9.91,0,0,11.84,0,0,0,0,0,0,0,0,0,0,0,"     1427.50",0,0,"0"
12.84491282243,17.5964450836182,0,100,0,0,0,0,5677.42540735213,6523.40430464583,7100.04265516926,0,100.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    37363.61",0,0,"0"
3.02574729919434,3.02574729919434,64.0799026170156,35.9200973829844,0,0,0,0,4425.93319039072,5237.07904397942,5772.24865609098,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"    49699.95",0,0,"0"
13.913378238678,14.7642879486084,100,0,0,0,0,0,4167.76373171747,4896.57941651301,5356.82421993067,1.05,65.2,33.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"     7500.00",0,0,"0"
13.7539105415344,15.7196626663208,32.9906883854596,67.0093116145404,0,0,0,0,3976.4134313234,4658.16807051331,5103.92515914134,85,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    13533.52",0,0,"0"
18.5162820613131,28.4631252288818,0,100,0,0,0,0,16389.9621515303,17117.3349502172,17553.7586294293,2.53,64.54,32.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    66700.00",0,0,"0"
5.91255292892456,7.04032421112061,100,0,0,0,0,0,3394.87323409356,3747.05416299307,4000.33492630892,36.63,18.51,0,0,0,0,0,0,0,0,44.86,0,0,0,0,0,0,"   452399.09",0,0,"0"
7.40881708690098,12.4219617843628,100,0,0,0,0,0,4781.03804542609,4999.51247750972,5130.59713675989,0,0,19.65,0,75.89,0,0,0,0,4.46,0,0,0,0,0,0,0,"    24275.05",0,0,"0"
5.33890146017075,11.418514251709,100,0,0,0,0,0,4203.82200159159,4364.12933183403,4469.05295381502,0,16.49,83.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"     5955.56",0,0,"0"
11.9128131866455,12.5878820419312,100,0,0,0,0,0,11522.4840676612,11747.2839248901,11882.1638392275,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    21536.58",0,0,"0"
13.6895685195923,13.6895685195923,0,0,0,90.8523514107423,9.14764858925768,0,12098.9912640307,12403.0265523703,12585.4477253741,5.85,94.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    27975.77",0,0,"0"
